Model,Split,DER,JER
pyannote,dev,0.04636192944970459,0.029763204582303176
pyannote,test,0.05822601500706129,0.040373902673181014
ecapa+VBx,dev,0.11707481945317112,0.07990201326628929
ecapa+VBx,test,0.11501403530643683,0.08126076983575808
